id,requestId,RefNo,TitleReferenceNoOfContract,CounterpartyName,ProductServices,businessunit,Department,ContractAmountHKD,contractstartdate,contractenddate,requested_date,requested_time,Status,contracttype,isDeleteProcess,reviewtier,modedatacreater,modedatacreatedate,modedatacreatetime,Over5M,Over100M,WithEndDate,Saved,IncludingExternalGuarantees,IsAuthoritySufficient,IsRisksAccepted,IsRenew,iscontractfinancial,needapreliminaryreviewbygroupl,PreliminaryReviewFlag,preliminaryreviewflag2,FlagNeedLegal,FlagNeedGFN,IfRelatedToData,relatedtocapexpropertyleasingc,generalpurchaseandoverhk50k,unlimitedliabilitiesorliabilit,allrelevantdocumentationhasbee,ihaveread10points,description,KeyChanges,assessmentprompt1,assessmentprompt7,ReasonToSubmitLT5M,ReasonsNoEndDa,NoteOnContractAmount
11,10011,CCA20260011,Fake contract 011,Placeholder Logistics HK,Media buying campaign,IT,2,144819540,2024-11-02,2025-08-31,2024-10-19,10:00:00,6,Financial,0,1,1,2024-10-13,09:30:00,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,Fake contract for Office laptop refresh (200 units). Auto-generated test data.,None (fake data),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,,,Estimated spend (fake)
12,10012,CCA20260012,Fake contract 012,ExampleSoft Ltd,Warehouse logistics outsourcing,Legal,1,69302158,2025-07-28,,2025-07-14,10:00:00,7,Licensing,0,3,1,2025-07-08,09:30:00,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,Fake contract for Network security audit. Auto-generated test data.,Renewal with updated pricing (fake),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,,Evergreen service (fake),Estimated spend (fake)
13,10013,CCA20260013,Fake contract 013,Testbench Engineering,Catering services 2026-2028,Procurement,3,161030,2024-07-02,2026-08-11,2024-06-18,10:00:00,7,NDA,0,1,1,2024-06-12,09:30:00,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,Fake contract for HR payroll SaaS licence. Auto-generated test data.,None (fake data),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,Below threshold (fake),,Estimated spend (fake)
14,10014,CCA20260014,Fake contract 014,Sample Systems Asia,Office laptop refresh (200 units),IT,5,96098221,2025-11-26,2029-02-26,2025-11-12,10:00:00,2,Financial,0,2,1,2025-11-06,09:30:00,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,Fake contract for Data annotation services. Auto-generated test data.,Renewal with updated pricing (fake),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,,,Estimated spend (fake)
15,10015,CCA20260015,Fake contract 015,Mockup Media Group,Data annotation services,Procurement,7,8155311,2025-09-30,2026-09-10,2025-09-16,10:00:00,3,Property Leasing,0,3,1,2025-09-10,09:30:00,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,Fake contract for Print advertising package. Auto-generated test data.,Renewal with updated pricing (fake),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,,,Estimated spend (fake)
16,10016,CCA20260016,Fake contract 016,Lorem Consulting,Print advertising package,Procurement,2,38682516,2024-06-22,2026-04-24,2024-06-08,10:00:00,7,Service Agreement,0,3,1,2024-06-02,09:30:00,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,Fake contract for Catering services 2026-2028. Auto-generated test data.,Renewal with updated pricing (fake),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,,,Estimated spend (fake)
17,10017,CCA20260017,Fake contract 017,Placeholder Logistics HK,Data annotation services,HR,1,281315,2024-04-19,2025-10-09,2024-04-05,10:00:00,5,Service Agreement,0,1,1,2024-03-30,09:30:00,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,Fake contract for Catering services 2026-2028. Auto-generated test data.,Renewal with updated pricing (fake),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,Below threshold (fake),,Estimated spend (fake)
18,10018,CCA20260018,Fake contract 018,Mockup Media Group,Catering services 2026-2028,Procurement,6,9165094,2025-03-26,,2025-03-12,10:00:00,3,Financial,0,1,1,2025-03-06,09:30:00,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,Fake contract for Network security audit. Auto-generated test data.,Renewal with updated pricing (fake),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,,Evergreen service (fake),Estimated spend (fake)
19,10019,CCA20260019,Fake contract 019,Lorem Consulting,Data annotation services,Legal,4,8290867,2024-11-01,2027-06-07,2024-10-18,10:00:00,4,Service Agreement,0,2,1,2024-10-12,09:30:00,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,Fake contract for Office laptop refresh (200 units). Auto-generated test data.,None (fake data),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,,,Estimated spend (fake)
20,10020,CCA20260020,Fake contract 020,Sample Systems Asia,HR payroll SaaS licence,HR,5,8973007,2025-01-23,2027-11-10,2025-01-09,10:00:00,7,Property Leasing,0,2,1,2025-01-03,09:30:00,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,Fake contract for Cold-chain distribution. Auto-generated test data.,Renewal with updated pricing (fake),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,,,Estimated spend (fake)
21,10021,CCA20260021,Fake contract 021,Placeholder Logistics HK,Media buying campaign,IT,1,2328419,2025-09-12,2026-08-02,2025-08-29,10:00:00,3,Financial,0,3,1,2025-08-23,09:30:00,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,Fake contract for Network security audit. Auto-generated test data.,Renewal with updated pricing (fake),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,Below threshold (fake),,Estimated spend (fake)
22,10022,CCA20260022,Fake contract 022,Fable Pharmaceuticals,Warehouse logistics outsourcing,HR,3,11698142,2024-04-18,2026-07-28,2024-04-04,10:00:00,6,Financial,0,3,1,2024-03-29,09:30:00,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,Fake contract for Cold-chain distribution. Auto-generated test data.,Renewal with updated pricing (fake),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,,,Estimated spend (fake)
23,10023,CCA20260023,Fake contract 023,Mockup Media Group,HR payroll SaaS licence,Procurement,5,7921899,2024-07-05,2026-09-29,2024-06-21,10:00:00,5,General Purchase,0,3,1,2024-06-15,09:30:00,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,Fake contract for Print advertising package. Auto-generated test data.,None (fake data),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,,,Estimated spend (fake)
24,10024,CCA20260024,Fake contract 024,Demo Foods International,Cloud ERP subscription (3 years),Marketing,4,8669384,2025-04-09,2026-12-04,2025-03-26,10:00:00,3,General Purchase,0,3,1,2025-03-20,09:30:00,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,Fake contract for Office laptop refresh (200 units). Auto-generated test data.,Renewal with updated pricing (fake),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,,,Estimated spend (fake)
25,10025,CCA20260025,Fake contract 025,Fable Pharmaceuticals,Cold-chain distribution,Procurement,3,370119,2024-01-13,2026-11-29,2023-12-30,10:00:00,1,Licensing,0,2,1,2023-12-24,09:30:00,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,Fake contract for Network security audit. Auto-generated test data.,Renewal with updated pricing (fake),Key risks: none identified (synthetic record).,Mitigations documented in fake assessment.,Below threshold (fake),,Estimated spend (fake)
